key,total_ms,count,avg_ms,min_ms,max_ms
L16/minicpm4/mlp/decode,0.807,8,0.100876,0.098624,0.104896
L16/minicpm4/mlp/prefill,1569.437,28,56.051326,0.101504,68.034142
L16/minicpm4/o_gate/decode,0.281,8,0.035072,0.017536,0.051648
L16/minicpm4/o_gate/prefill,136.616,28,4.879135,0.057632,5.871392
L16/minicpm4/o_proj/decode,0.219,8,0.027388,0.012960,0.033792
L16/minicpm4/o_proj/prefill,116.221,28,4.150738,0.032928,5.031296
L16/minicpm4/post_attn_norm/decode,0.291,8,0.036348,0.035296,0.038304
L16/minicpm4/post_attn_norm/prefill,29.822,28,1.065082,0.014432,1.234272
L16/minicpm4/qkv_proj/decode,0.247,8,0.030876,0.029536,0.033312
L16/minicpm4/qkv_proj/prefill,139.962,28,4.998625,0.034784,5.979648
L17/minicpm4/attn/decode,3.683,8,0.460360,0.448960,0.487872
L17/minicpm4/attn/prefill,3102.853,28,110.816161,0.524256,708.782410
L17/minicpm4/attn_kernel/decode,2.601,8,0.325172,0.296288,0.377312
L17/minicpm4/attn_kernel/prefill,2711.506,28,96.839507,0.342176,698.879639
L17/minicpm4/input_norm/decode,0.030,8,0.003760,0.002720,0.004096
L17/minicpm4/input_norm/prefill,8.702,28,0.310769,0.004384,0.362400
L17/minicpm4/mlp/decode,0.790,8,0.098740,0.097024,0.101344
L17/minicpm4/mlp/prefill,1568.117,28,56.004170,0.101056,68.500992
L17/minicpm4/o_gate/decode,0.289,8,0.036180,0.017536,0.049568
L17/minicpm4/o_gate/prefill,135.704,28,4.846584,0.056320,5.817376
L17/minicpm4/o_proj/decode,0.214,8,0.026748,0.011936,0.033760
L17/minicpm4/o_proj/prefill,115.420,28,4.122142,0.033312,5.023200
L17/minicpm4/post_attn_norm/decode,0.281,8,0.035124,0.030752,0.037472
L17/minicpm4/post_attn_norm/prefill,29.795,28,1.064099,0.008864,1.230784
L17/minicpm4/qkv_proj/decode,0.266,8,0.033256,0.031552,0.035040
L17/minicpm4/qkv_proj/prefill,139.881,28,4.995747,0.035488,6.032992
L18/lightning-attn/attn/decode,4.018,8,0.502232,0.483488,0.536672
L18/lightning-attn/attn/prefill,858.139,28,30.647814,0.562720,36.503872
L18/lightning-attn/input_norm/decode,0.032,8,0.004004,0.003776,0.004128
L18/lightning-attn/input_norm/prefill,8.733,28,0.311896,0.004096,0.363552
L18/lightning-attn/mlp/decode,0.779,8,0.097368,0.086208,0.101920
L18/lightning-attn/mlp/prefill,1627.189,28,58.113881,0.100000,73.193535
L18/lightning-attn/post_attn_norm/decode,0.264,8,0.032980,0.032000,0.035008
L18/lightning-attn/post_attn_norm/prefill,29.828,28,1.065291,0.009984,1.232064
L18/lightning/chunk_simple_gla/prefill,57.965,26,2.229431,0.162016,2.509536
L18/lightning/fla_kernel/decode,1.744,8,0.217948,0.213472,0.227424
L18/lightning/fla_kernel/prefill,61.182,28,2.185064,0.255840,2.605376
L18/lightning/fla_state_load/decode,0.288,8,0.036016,0.033824,0.040640
L18/lightning/fla_state_load/prefill,1.512,28,0.053984,0.023488,0.079232
L18/lightning/fla_state_save/decode,0.270,8,0.033732,0.032032,0.037120
L18/lightning/fla_state_save/prefill,0.531,28,0.018954,0.013376,0.041536
L18/lightning/fused_recurrent_gla/decode,0.881,8,0.110112,0.104032,0.118048
L18/lightning/fused_recurrent_gla/prefill,0.240,2,0.120032,0.117792,0.122272
L18/lightning/o_norm/decode,0.202,8,0.025200,0.023520,0.028224
L18/lightning/o_norm/prefill,8.251,28,0.294672,0.026656,0.345920
L18/lightning/o_proj/decode,0.252,8,0.031552,0.029216,0.036224
L18/lightning/o_proj/prefill,122.063,28,4.359400,0.032672,5.233440
L18/lightning/qk_norm/decode,0.289,8,0.036068,0.026816,0.041792
L18/lightning/qk_norm/prefill,70.028,28,2.500989,0.025888,2.929952
L18/lightning/qkv_proj/decode,0.293,8,0.036660,0.034912,0.040256
L18/lightning/qkv_proj/prefill,363.684,28,12.988701,0.039328,15.693568
